"Section I Incomplete and Inaccurate Bid Submissions","11",0.00363639328137178
"Section I Incomplete and Inaccurate Bid Submissions","1854",0.0026323341509695
"Section I Incomplete and Inaccurate Bid Submissions","1860d",0.00279503492577783
"Section I Incomplete and Inaccurate Bid Submissions","2",0.00277196808210453
"Section I Incomplete and Inaccurate Bid Submissions","20.4.4",0.00275292708254305
"Section I Incomplete and Inaccurate Bid Submissions","2017",0.00280090261227903
"Section I Incomplete and Inaccurate Bid Submissions","3",0.00280061393558678
"Section I Incomplete and Inaccurate Bid Submissions","4",0.00235015807673776
"Section I Incomplete and Inaccurate Bid Submissions","42",0.0028082917382806
"Section I Incomplete and Inaccurate Bid Submissions","42 c.f.r",0.00279164251656625
"Section I Incomplete and Inaccurate Bid Submissions","422.254",0.00237617159714947
"Section I Incomplete and Inaccurate Bid Submissions","422.256",0.00257689539067266
"Section I Incomplete and Inaccurate Bid Submissions","423.104",0.002779151172003
"Section I Incomplete and Inaccurate Bid Submissions","423.265",0.00275690162743356
"Section I Incomplete and Inaccurate Bid Submissions","423.272",0.00279166754804117
"Section I Incomplete and Inaccurate Bid Submissions","5",0.0052762123462693
"Section I Incomplete and Inaccurate Bid Submissions","abil",0.00256771175720004
"Section I Incomplete and Inaccurate Bid Submissions","absent",0.00270080331361787
"Section I Incomplete and Inaccurate Bid Submissions","accept",0.00267622448693266
"Section I Incomplete and Inaccurate Bid Submissions","accur",0.00956713951592743
"Section I Incomplete and Inaccurate Bid Submissions","act",0.00275993242563994
"Section I Incomplete and Inaccurate Bid Submissions","action",0.00799868368700255
"Section I Incomplete and Inaccurate Bid Submissions","addit",0.0048457773082481
"Section I Incomplete and Inaccurate Bid Submissions","adjust",7.85544443507196e-06
"Section I Incomplete and Inaccurate Bid Submissions","advanc",0.00445356600900141
"Section I Incomplete and Inaccurate Bid Submissions","allow",0.00266791185002976
"Section I Incomplete and Inaccurate Bid Submissions","amount",8.67727112073067e-06
"Section I Incomplete and Inaccurate Bid Submissions","applic",0.01118611013015
"Section I Incomplete and Inaccurate Bid Submissions","approv",0.00269177605691315
"Section I Incomplete and Inaccurate Bid Submissions","author",0.00530297648076009
"Section I Incomplete and Inaccurate Bid Submissions","base",0.00265506672284265
"Section I Incomplete and Inaccurate Bid Submissions","beneficiari",7.72453473732149e-06
"Section I Incomplete and Inaccurate Bid Submissions","benefit",0.0103534992566702
"Section I Incomplete and Inaccurate Bid Submissions","benefit packag",0.00279506759159988
"Section I Incomplete and Inaccurate Bid Submissions","bid",0.0853501359813262
"Section I Incomplete and Inaccurate Bid Submissions","bid price",0.00542048266050624
"Section I Incomplete and Inaccurate Bid Submissions","bid submiss",0.0185113413811347
"Section I Incomplete and Inaccurate Bid Submissions","bpt",0.00234544077557255
"Section I Incomplete and Inaccurate Bid Submissions","c.f.r",0.0027820965955699
"Section I Incomplete and Inaccurate Bid Submissions","call",0.00785220354656292
"Section I Incomplete and Inaccurate Bid Submissions","call letter",0.00466192398253765
"Section I Incomplete and Inaccurate Bid Submissions","chapter",0.00270992744489756
"Section I Incomplete and Inaccurate Bid Submissions","choos",0.00280738084215353
"Section I Incomplete and Inaccurate Bid Submissions","circumst",0.00243573783391086
"Section I Incomplete and Inaccurate Bid Submissions","cms.hhs.gov",0.00261994957618803
"Section I Incomplete and Inaccurate Bid Submissions","complet",0.00989108094841077
"Section I Incomplete and Inaccurate Bid Submissions","compli",0.0054321960337306
"Section I Incomplete and Inaccurate Bid Submissions","complianc",0.00560961477237689
"Section I Incomplete and Inaccurate Bid Submissions","compon",0.0158198983438054
"Section I Incomplete and Inaccurate Bid Submissions","confirm",0.00256162106086502
"Section I Incomplete and Inaccurate Bid Submissions","consid",0.00223127056847835
"Section I Incomplete and Inaccurate Bid Submissions","consist",0.00529678068745632
"Section I Incomplete and Inaccurate Bid Submissions","constitut",0.00267452215258834
"Section I Incomplete and Inaccurate Bid Submissions","contact",0.00274248823361436
"Section I Incomplete and Inaccurate Bid Submissions","continu",7.87445769484191e-06
"Section I Incomplete and Inaccurate Bid Submissions","contract",0.00695672412923419
"Section I Incomplete and Inaccurate Bid Submissions","correct",0.00489452433422715
"Section I Incomplete and Inaccurate Bid Submissions","cost",0.00770008890416505
"Section I Incomplete and Inaccurate Bid Submissions","cost share",0.00561516968877514
"Section I Incomplete and Inaccurate Bid Submissions","coverag",0.00502706757838354
"Section I Incomplete and Inaccurate Bid Submissions","crosswalk",0.00748317537293617
"Section I Incomplete and Inaccurate Bid Submissions","data",1.06136703541151e-05
"Section I Incomplete and Inaccurate Bid Submissions","date",0.00372376415133683
"Section I Incomplete and Inaccurate Bid Submissions","daylight",0.00266962652950643
"Section I Incomplete and Inaccurate Bid Submissions","deadlin",0.0254604535938185
"Section I Incomplete and Inaccurate Bid Submissions","defin",0.00553428085780821
"Section I Incomplete and Inaccurate Bid Submissions","defin standard",0.00279935161199812
"Section I Incomplete and Inaccurate Bid Submissions","deni",0.00272499590041666
"Section I Incomplete and Inaccurate Bid Submissions","desk",0.00452044919599631
"Section I Incomplete and Inaccurate Bid Submissions","determin",1.06963036507886e-05
"Section I Incomplete and Inaccurate Bid Submissions","dilig",0.00276455642700388
"Section I Incomplete and Inaccurate Bid Submissions","divers",0.00256969747169964
"Section I Incomplete and Inaccurate Bid Submissions","document",0.00342769367597037
"Section I Incomplete and Inaccurate Bid Submissions","drug",0.00762313139897327
"Section I Incomplete and Inaccurate Bid Submissions","drug benefit",0.00280686982274629
"Section I Incomplete and Inaccurate Bid Submissions","drug coverag",0.00518334909325473
"Section I Incomplete and Inaccurate Bid Submissions","due",0.00620470680123566
"Section I Incomplete and Inaccurate Bid Submissions","employ",0.0026145705884317
"Section I Incomplete and Inaccurate Bid Submissions","engag",0.00258759213522891
"Section I Incomplete and Inaccurate Bid Submissions","enrol",1.09276656254265e-05
"Section I Incomplete and Inaccurate Bid Submissions","enrolle",1.52454179385475e-05
"Section I Incomplete and Inaccurate Bid Submissions","error",0.00241950583049952
"Section I Incomplete and Inaccurate Bid Submissions","establish",0.00819571138456372
"Section I Incomplete and Inaccurate Bid Submissions","exampl",0.00272029423188467
"Section I Incomplete and Inaccurate Bid Submissions","extraordinari",0.002629287170078
"Section I Incomplete and Inaccurate Bid Submissions","fail",0.00270240105983787
"Section I Incomplete and Inaccurate Bid Submissions","failur",0.0054020444029797
"Section I Incomplete and Inaccurate Bid Submissions","final",6.2042547556488e-06
"Section I Incomplete and Inaccurate Bid Submissions","form",0.00224747759211991
"Section I Incomplete and Inaccurate Bid Submissions","formulari",0.0152768486588079
"Section I Incomplete and Inaccurate Bid Submissions","function",0.00793064662986698
"Section I Incomplete and Inaccurate Bid Submissions","hpm",0.00923503537356765
"Section I Incomplete and Inaccurate Bid Submissions","impos",0.0027774441848328
"Section I Incomplete and Inaccurate Bid Submissions","inaccur",0.0165809268452308
"Section I Incomplete and Inaccurate Bid Submissions","inaccuraci",0.00264509040017082
"Section I Incomplete and Inaccurate Bid Submissions","includ",0.0104200576490421
"Section I Incomplete and Inaccurate Bid Submissions","incomplet",0.00463566881040186
"Section I Incomplete and Inaccurate Bid Submissions","incorrect",0.00279211372513015
"Section I Incomplete and Inaccurate Bid Submissions","increas",6.31366495007867e-06
"Section I Incomplete and Inaccurate Bid Submissions","inform",0.00545538385304911
"Section I Incomplete and Inaccurate Bid Submissions","initi",0.00270252226582858
"Section I Incomplete and Inaccurate Bid Submissions","intent",0.0027616609210847
"Section I Incomplete and Inaccurate Bid Submissions","issu",0.00528990763815379
"Section I Incomplete and Inaccurate Bid Submissions","june",0.00778206744535535
"Section I Incomplete and Inaccurate Bid Submissions","june 4",0.00503520727348049
"Section I Incomplete and Inaccurate Bid Submissions","justif",0.00273464377569052
"Section I Incomplete and Inaccurate Bid Submissions","law",0.00270453973845763
"Section I Incomplete and Inaccurate Bid Submissions","letter",0.00540908882859824
"Section I Incomplete and Inaccurate Bid Submissions","limit",0.00266363025206438
"Section I Incomplete and Inaccurate Bid Submissions","manag",0.00258594937921375
"Section I Incomplete and Inaccurate Bid Submissions","manner",0.00263747299214077
"Section I Incomplete and Inaccurate Bid Submissions","manual",0.00280807761506103
"Section I Incomplete and Inaccurate Bid Submissions","measur",8.33282024915013e-06
"Section I Incomplete and Inaccurate Bid Submissions","meet",0.0108415628608732
"Section I Incomplete and Inaccurate Bid Submissions","memo",0.00230747211437902
"Section I Incomplete and Inaccurate Bid Submissions","model",9.18787015640666e-06
"Section I Incomplete and Inaccurate Bid Submissions","modif",0.00264583455688707
"Section I Incomplete and Inaccurate Bid Submissions","mondai",0.00254735254221907
"Section I Incomplete and Inaccurate Bid Submissions","notic",0.00293728541691505
"Section I Incomplete and Inaccurate Bid Submissions","offer",0.00839939355370784
"Section I Incomplete and Inaccurate Bid Submissions","organ",0.0337857987056726
"Section I Incomplete and Inaccurate Bid Submissions","outstand",0.00277650477650776
"Section I Incomplete and Inaccurate Bid Submissions","pacif",0.00273498309536195
"Section I Incomplete and Inaccurate Bid Submissions","paramet",0.00279053196243385
"Section I Incomplete and Inaccurate Bid Submissions","past",0.00248469839686021
"Section I Incomplete and Inaccurate Bid Submissions","payment",1.38373871439822e-05
"Section I Incomplete and Inaccurate Bid Submissions","pbp",0.00258118871920566
"Section I Incomplete and Inaccurate Bid Submissions","pd",0.0104530527388039
"Section I Incomplete and Inaccurate Bid Submissions","pdp",0.00604761809853259
"Section I Incomplete and Inaccurate Bid Submissions","percent",6.34690691055383e-06
"Section I Incomplete and Inaccurate Bid Submissions","personnel",0.00270687203033297
"Section I Incomplete and Inaccurate Bid Submissions","pm",0.00254646725642688
"Section I Incomplete and Inaccurate Bid Submissions","polici",0.00280890616156665
"Section I Incomplete and Inaccurate Bid Submissions","prescript",0.00893513223880243
"Section I Incomplete and Inaccurate Bid Submissions","prescript drug",0.00997691515009557
"Section I Incomplete and Inaccurate Bid Submissions","prevent",0.00224601093499651
"Section I Incomplete and Inaccurate Bid Submissions","previou",0.00274296680760363
"Section I Incomplete and Inaccurate Bid Submissions","price",0.00262606842305043
"Section I Incomplete and Inaccurate Bid Submissions","prior",0.00253001854190789
"Section I Incomplete and Inaccurate Bid Submissions","procedur",0.00269815693662453
"Section I Incomplete and Inaccurate Bid Submissions","proceed",0.0026471252365257
"Section I Incomplete and Inaccurate Bid Submissions","program",1.06924069185809e-05
"Section I Incomplete and Inaccurate Bid Submissions","propos",6.54212850814129e-06
"Section I Incomplete and Inaccurate Bid Submissions","provid",1.70977137287684e-05
"Section I Incomplete and Inaccurate Bid Submissions","provis",0.00268872978119924
"Section I Incomplete and Inaccurate Bid Submissions","qualifi",0.00256605469500951
"Section I Incomplete and Inaccurate Bid Submissions","question",0.00250685631173704
"Section I Incomplete and Inaccurate Bid Submissions","rate",1.06036651169275e-05
"Section I Incomplete and Inaccurate Bid Submissions","receiv",1.01829517291004e-05
"Section I Incomplete and Inaccurate Bid Submissions","refer",0.00278199344189365
"Section I Incomplete and Inaccurate Bid Submissions","relat",0.00277822964236421
"Section I Incomplete and Inaccurate Bid Submissions","releas",0.00260015423536351
"Section I Incomplete and Inaccurate Bid Submissions","remind",0.00545655774813157
"Section I Incomplete and Inaccurate Bid Submissions","renew",0.00368837475152894
"Section I Incomplete and Inaccurate Bid Submissions","report",0.00262620492241645
"Section I Incomplete and Inaccurate Bid Submissions","request",0.00256837244089477
"Section I Incomplete and Inaccurate Bid Submissions","requir",0.0305437274242299
"Section I Incomplete and Inaccurate Bid Submissions","resourc",0.0027660702185571
"Section I Incomplete and Inaccurate Bid Submissions","respons",0.00257972505713799
"Section I Incomplete and Inaccurate Bid Submissions","resubmiss",0.00251942337858634
"Section I Incomplete and Inaccurate Bid Submissions","result",0.00274597547240202
"Section I Incomplete and Inaccurate Bid Submissions","review",0.00230167956473225
"Section I Incomplete and Inaccurate Bid Submissions","revis",0.00240554702174235
"Section I Incomplete and Inaccurate Bid Submissions","risk",9.39994468344915e-06
"Section I Incomplete and Inaccurate Bid Submissions","sanction",0.00266140091540368
"Section I Incomplete and Inaccurate Bid Submissions","sav",0.00258995381138103
"Section I Incomplete and Inaccurate Bid Submissions","secretari",0.00280818441294035
"Section I Incomplete and Inaccurate Bid Submissions","section",0.00836499802083795
"Section I Incomplete and Inaccurate Bid Submissions","secur",0.00279945679983547
"Section I Incomplete and Inaccurate Bid Submissions","servic",0.00262600060323221
"Section I Incomplete and Inaccurate Bid Submissions","set",0.00279297226721725
"Section I Incomplete and Inaccurate Bid Submissions","share",0.00562996018721292
"Section I Incomplete and Inaccurate Bid Submissions","snp",8.01934879660207e-06
"Section I Incomplete and Inaccurate Bid Submissions","social",0.00260030923175408
"Section I Incomplete and Inaccurate Bid Submissions","sponsor",0.013899793368374
"Section I Incomplete and Inaccurate Bid Submissions","standard",0.00693717811571278
"Section I Incomplete and Inaccurate Bid Submissions","subject",0.00277887059041486
"Section I Incomplete and Inaccurate Bid Submissions","submiss",0.0334459795120657
"Section I Incomplete and Inaccurate Bid Submissions","submiss deadlin",0.0102871280534362
"Section I Incomplete and Inaccurate Bid Submissions","submit",0.0202280457479924
"Section I Incomplete and Inaccurate Bid Submissions","substanti",0.00275418411643869
"Section I Incomplete and Inaccurate Bid Submissions","successfulli",0.00816453086645905
"Section I Incomplete and Inaccurate Bid Submissions","suffici",0.00273753512875029
"Section I Incomplete and Inaccurate Bid Submissions","support",0.00262441501241508
"Section I Incomplete and Inaccurate Bid Submissions","system",0.00280737465892485
"Section I Incomplete and Inaccurate Bid Submissions","technic",0.00273658409745045
"Section I Incomplete and Inaccurate Bid Submissions","threshold",0.0109330180653031
"Section I Incomplete and Inaccurate Bid Submissions","tier",7.2298297048991e-06
"Section I Incomplete and Inaccurate Bid Submissions","time",0.00808847798982452
"Section I Incomplete and Inaccurate Bid Submissions","tool",0.00527960707925824
"Section I Incomplete and Inaccurate Bid Submissions","track",0.0025306301496394
"Section I Incomplete and Inaccurate Bid Submissions","trigger",0.00275229861882688
"Section I Incomplete and Inaccurate Bid Submissions","unnecessari",0.0026861780118936
"Section I Incomplete and Inaccurate Bid Submissions","updat",1.07048970298611e-05
"Section I Incomplete and Inaccurate Bid Submissions","upload",0.0133554508341204
"Section I Incomplete and Inaccurate Bid Submissions","valid",0.00544747346056504
"Section I Incomplete and Inaccurate Bid Submissions","verif",0.00347727920126201
"Section I Incomplete and Inaccurate Bid Submissions","waiv",0.00271528405201783
"Section I Incomplete and Inaccurate Bid Submissions","waiver",0.00262535250445708
"Section I Innovations in Health Plan Design","1",0.00271403098936707
"Section I Innovations in Health Plan Design","11",0.00368700626990362
"Section I Innovations in Health Plan Design","2016",0.00270778637949895
"Section I Innovations in Health Plan Design","2017",0.00271657884994483
"Section I Innovations in Health Plan Design","22",0.00270365720985705
"Section I Innovations in Health Plan Design","59",0.00540647294355779
"Section I Innovations in Health Plan Design","800",0.00270317595447466
"Section I Innovations in Health Plan Design","abridg",0.00270319633299039
"Section I Innovations in Health Plan Design","accept",0.00270451396565625
"Section I Innovations in Health Plan Design","account",0.00270714024435209
"Section I Innovations in Health Plan Design","activ",0.00270518254266552
"Section I Innovations in Health Plan Design","addit",0.00541517395887309
"Section I Innovations in Health Plan Design","adjust",0.00271410807419183
"Section I Innovations in Health Plan Design","alabama",0.00270317595447466
"Section I Innovations in Health Plan Design","annual",0.00541247405499082
"Section I Innovations in Health Plan Design","anoc",0.010812875154475
"Section I Innovations in Health Plan Design","applic",0.0106392417380616
"Section I Innovations in Health Plan Design","approv",0.00270571972475953
"Section I Innovations in Health Plan Design","arizona",0.00270317595447466
"Section I Innovations in Health Plan Design","attest",0.00810979686709883
"Section I Innovations in Health Plan Design","author",0.00761424384162029
"Section I Innovations in Health Plan Design","base",0.00403755565548156
"Section I Innovations in Health Plan Design","basic",0.00270612261973522
"Section I Innovations in Health Plan Design","begin",0.00402447688408773
"Section I Innovations in Health Plan Design","benefit",0.00385174095751967
"Section I Innovations in Health Plan Design","calendar",0.00811081118395434
"Section I Innovations in Health Plan Design","california",0.00270325802404953
"Section I Innovations in Health Plan Design","call",0.00270752871886855
"Section I Innovations in Health Plan Design","call letter",0.00270705456508319
"Section I Innovations in Health Plan Design","carolina",0.00270317595447466
"Section I Innovations in Health Plan Design","center",0.00270431412910527
"Section I Innovations in Health Plan Design","chip",0.00270411071084422
"Section I Innovations in Health Plan Design","choos",0.0052002683110074
"Section I Innovations in Health Plan Design","chronic",0.00270474944264518
"Section I Innovations in Health Plan Design","chronic condit",0.00270378031002267
"Section I Innovations in Health Plan Design","clinic",0.00270684776236543
"Section I Innovations in Health Plan Design","colorado",0.00270317595447466
"Section I Innovations in Health Plan Design","combin",0.00270461162047406
"Section I Innovations in Health Plan Design","comprehens",0.00270412847245396
"Section I Innovations in Health Plan Design","condit",0.00541242363982247
"Section I Innovations in Health Plan Design","coordin",0.00270575837076715
"Section I Innovations in Health Plan Design","cost",0.00368868559233416
"Section I Innovations in Health Plan Design","cost share",0.00272423988361908
"Section I Innovations in Health Plan Design","current",0.00541430191145663
"Section I Innovations in Health Plan Design","dakota",0.00540635190894932
"Section I Innovations in Health Plan Design","date",0.0116913692849016
"Section I Innovations in Health Plan Design","deliveri",0.00270441682573817
"Section I Innovations in Health Plan Design","descript",0.00270332690601041
"Section I Innovations in Health Plan Design","design",0.0135179029845111
"Section I Innovations in Health Plan Design","develop",0.00540963809278021
"Section I Innovations in Health Plan Design","direct",0.00270454141577228
"Section I Innovations in Health Plan Design","directori",0.00270458876253738
"Section I Innovations in Health Plan Design","discuss",0.00270543610537124
"Section I Innovations in Health Plan Design","effort",0.00270577617593469
"Section I Innovations in Health Plan Design","egwp",0.00541025969163764
"Section I Innovations in Health Plan Design","elect",0.00270403911908834
"Section I Innovations in Health Plan Design","encompass",0.00270330609537148
"Section I Innovations in Health Plan Design","engend",0.00270319541933139
"Section I Innovations in Health Plan Design","enhanc",0.0189266879953077
"Section I Innovations in Health Plan Design","enhancedmtm",0.00270317595447466
"Section I Innovations in Health Plan Design","enrolle",0.00810040514228549
"Section I Innovations in Health Plan Design","eoc",0.00810995121887993
"Section I Innovations in Health Plan Design","evid",0.00270560657948473
"Section I Innovations in Health Plan Design","expenditur",0.00540794481054488
"Section I Innovations in Health Plan Design","expressli",0.00270317595447466
"Section I Innovations in Health Plan Design","final",0.00271179208311356
"Section I Innovations in Health Plan Design","finder",0.00270485850339095
"Section I Innovations in Health Plan Design","flexibl",0.00811152575228363
"Section I Innovations in Health Plan Design","florida",0.00270317595447466
"Section I Innovations in Health Plan Design","focus",0.00270350272992851
"Section I Innovations in Health Plan Design","futur",0.00270531510929372
"Section I Innovations in Health Plan Design","georgia",0.00270317595447466
"Section I Innovations in Health Plan Design","hawaii",0.00270317595447466
"Section I Innovations in Health Plan Design","identifi",0.00271000123531863
"Section I Innovations in Health Plan Design","impact",0.002706787619246
"Section I Innovations in Health Plan Design","implement",0.00270986636948087
"Section I Innovations in Health Plan Design","improv",0.00540974900474964
"Section I Innovations in Health Plan Design","incent",0.0027050197483403
"Section I Innovations in Health Plan Design","includ",0.00719006710025895
"Section I Innovations in Health Plan Design","indiana",0.00540635190894932
"Section I Innovations in Health Plan Design","inelig",0.00270321474351385
"Section I Innovations in Health Plan Design","inform",0.00456920060560813
"Section I Innovations in Health Plan Design","initi",0.00541062972082591
"Section I Innovations in Health Plan Design","innov",0.0108131326356416
"Section I Innovations in Health Plan Design","innovation.cms.gov",0.00540640742577174
"Section I Innovations in Health Plan Design","insert",0.00270317595447466
"Section I Innovations in Health Plan Design","insur",0.005407048942463
"Section I Innovations in Health Plan Design","intend",0.00270543874324572
"Section I Innovations in Health Plan Design","intervent",0.00270327165772355
"Section I Innovations in Health Plan Design","invest",0.00270317595447466
"Section I Innovations in Health Plan Design","iowa",0.00270317595447466
"Section I Innovations in Health Plan Design","jersei",0.00270317595447466
"Section I Innovations in Health Plan Design","kei",0.00270422122999079
"Section I Innovations in Health Plan Design","languag",0.00270361408471131
"Section I Innovations in Health Plan Design","lead",0.00270355119161858
"Section I Innovations in Health Plan Design","letter",0.00449680289258125
"Section I Innovations in Health Plan Design","li",0.00270705237560976
"Section I Innovations in Health Plan Design","linkag",0.00270317595447466
"Section I Innovations in Health Plan Design","list",0.00270458589639991
"Section I Innovations in Health Plan Design","lower",0.00540769696963621
"Section I Innovations in Health Plan Design","mail",0.00270415927511339
"Section I Innovations in Health Plan Design","main",0.00270317595447466
"Section I Innovations in Health Plan Design","manag",0.00270809735598068
"Section I Innovations in Health Plan Design","mao",0.0108204166357906
"Section I Innovations in Health Plan Design","market",0.00270363509841514
"Section I Innovations in Health Plan Design","massachusett",0.00540652324552571
"Section I Innovations in Health Plan Design","mean",0.00270379843849793
"Section I Innovations in Health Plan Design","measur concept",0.00270352745158638
"Section I Innovations in Health Plan Design","medic",0.00541433034152662
"Section I Innovations in Health Plan Design","medicaid",0.00748139890959115
"Section I Innovations in Health Plan Design","mexico",0.00270317595447466
"Section I Innovations in Health Plan Design","michigan",0.00540635190894932
"Section I Innovations in Health Plan Design","minnesota",0.00270357573981957
"Section I Innovations in Health Plan Design","mmp",0.0108147333831136
"Section I Innovations in Health Plan Design","model",0.0486685048105989
"Section I Innovations in Health Plan Design","model test",0.0243288396643937
"Section I Innovations in Health Plan Design","montana",0.00270317595447466
"Section I Innovations in Health Plan Design","mtm",0.0216270217431472
"Section I Innovations in Health Plan Design","mtm program",0.00811036123610558
"Section I Innovations in Health Plan Design","multi",0.00270416032482279
"Section I Innovations in Health Plan Design","net",0.0027033958991509
"Section I Innovations in Health Plan Design","north",0.00540635190894932
"Section I Innovations in Health Plan Design","notif",0.00270374883198504
"Section I Innovations in Health Plan Design","offer",0.0204777769720661
"Section I Innovations in Health Plan Design","oper",0.00811104614451677
"Section I Innovations in Health Plan Design","opportun",0.00270468264494444
"Section I Innovations in Health Plan Design","optim",0.00270324184524511
"Section I Innovations in Health Plan Design","oregon",0.00270317595447466
"Section I Innovations in Health Plan Design","organ",0.00422283657801679
"Section I Innovations in Health Plan Design","outcom",0.00540756078090059
"Section I Innovations in Health Plan Design","p.m",0.00540635190894932
"Section I Innovations in Health Plan Design","pa",0.00270554295237352
"Section I Innovations in Health Plan Design","parent",0.00270370772971205
"Section I Innovations in Health Plan Design","particip",0.0162213017075465
"Section I Innovations in Health Plan Design","partner",0.00270326643203871
"Section I Innovations in Health Plan Design","payer",0.00270516202592978
"Section I Innovations in Health Plan Design","payment",0.00542558833806181
"Section I Innovations in Health Plan Design","pbp",0.0077393107074685
"Section I Innovations in Health Plan Design","pd",0.00351520694435681
"Section I Innovations in Health Plan Design","pdp",0.00929886224681067
"Section I Innovations in Health Plan Design","pdt",0.00540645405796511
"Section I Innovations in Health Plan Design","pennsylvania",0.00540635190894932
"Section I Innovations in Health Plan Design","period",0.00270720871083924
"Section I Innovations in Health Plan Design","person",0.00270335664669819
"Section I Innovations in Health Plan Design","pertain",0.0027035476154735
"Section I Innovations in Health Plan Design","pharmaci",0.00270650140802125
"Section I Innovations in Health Plan Design","preserv",0.0027032262276292
"Section I Innovations in Health Plan Design","privat",0.00270317595447466
"Section I Innovations in Health Plan Design","process",0.00270825627743798
"Section I Innovations in Health Plan Design","program",0.00812426700054614
"Section I Innovations in Health Plan Design","provid",0.0113013172003922
"Section I Innovations in Health Plan Design","provid directori",0.00270427194074552
"Section I Innovations in Health Plan Design","qualiti",0.00270679676512946
"Section I Innovations in Health Plan Design","rate",0.00542105265602743
"Section I Innovations in Health Plan Design","receiv",0.00271737268164111
"Section I Innovations in Health Plan Design","reduc",0.00540938084585994
"Section I Innovations in Health Plan Design","regulatori",0.00540749575812312
"Section I Innovations in Health Plan Design","releas",0.00270632099033035
"Section I Innovations in Health Plan Design","remain",0.00270483138709786
"Section I Innovations in Health Plan Design","renew",0.00633159262314751
"Section I Innovations in Health Plan Design","request",0.00541248988683907
"Section I Innovations in Health Plan Design","requir",0.00272667835131398
"Section I Innovations in Health Plan Design","respons",0.00540871114737217
"Section I Innovations in Health Plan Design","rider",0.00270317595447466
"Section I Innovations in Health Plan Design","sb",0.00270346151543531
"Section I Innovations in Health Plan Design","section",0.00746453977898533
"Section I Innovations in Health Plan Design","separ",0.00257082857459722
"Section I Innovations in Health Plan Design","seri",0.00270335580347247
"Section I Innovations in Health Plan Design","servic",0.0073771881126967
"Section I Innovations in Health Plan Design","size",0.00270340660615027
"Section I Innovations in Health Plan Design","snp",0.00271433796966885
"Section I Innovations in Health Plan Design","south",0.00270317595447466
"Section I Innovations in Health Plan Design","sponsor",0.0106518396925526
"Section I Innovations in Health Plan Design","st",0.00270317595447466
"Section I Innovations in Health Plan Design","stand",0.00270388088674294
"Section I Innovations in Health Plan Design","star",0.00541306858265548
"Section I Innovations in Health Plan Design","star rate",0.00541170141101349
"Section I Innovations in Health Plan Design","step",0.00256167746190976
"Section I Innovations in Health Plan Design","strategi",0.00270435742386341
"Section I Innovations in Health Plan Design","strengthen",0.00270337245435014
"Section I Innovations in Health Plan Design","subject",0.00540890801300177
"Section I Innovations in Health Plan Design","summari",0.00270425371847603
"Section I Innovations in Health Plan Design","supplement",0.00271138402015979
"Section I Innovations in Health Plan Design","supplement benefit",0.00271078579342977
"Section I Innovations in Health Plan Design","system",0.00270535941931849
"Section I Innovations in Health Plan Design","ten",0.00270328574681655
"Section I Innovations in Health Plan Design","tennesse",0.00270317595447466
"Section I Innovations in Health Plan Design","test",0.0351421448252399
"Section I Innovations in Health Plan Design","texa",0.00270317595447466
"Section I Innovations in Health Plan Design","therapi",0.00540942185094548
"Section I Innovations in Health Plan Design","thirteen",0.00270317595447466
"Section I Innovations in Health Plan Design","time",0.00271166186819597
"Section I Innovations in Health Plan Design","timelin",0.00270326551374145
"Section I Innovations in Health Plan Design","transit",0.00270615153112361
"Section I Innovations in Health Plan Design","uniform",0.00270431372561462
"Section I Innovations in Health Plan Design","vbid",0.0108129628306805
"Section I Innovations in Health Plan Design","virginia",0.00540635190894932
"Section I Innovations in Health Plan Design","visit",0.00540669819459748
"Section I Innovations in Health Plan Design","west",0.00270317595447466
"Section I Innovations in Health Plan Design","wish",0.00270355154146404
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","0",0.00664304799717181
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","1",0.00668002021457266
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","10",0.0066431224615025
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","114",0.00663984610392386
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","2",3.39569166395558e-05
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","2010",0.00663915026385645
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","2015",0.00665157522994386
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","2016",0.00665623041997543
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","2017",0.00668972667840103
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","3",2.26121526097987e-05
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","31",0.00664127270835432
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","4",2.30561797029814e-05
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","4 vi",1.94642114164296e-05
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","42",2.13176244598614e-05
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","42 c.f.r",2.83541899474492e-05
"Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","5",2.11812011476519e-05
